date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:27	44249/44249	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:21%20GMT	http://www.carquefou-football.com/convocations/u10-u11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/convocations/u10-u11.html	(from http://www.carquefou-football.com/)
17:13:28	39047/39047	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:23%20GMT	http://www.carquefou-football.com/convocations/u7-u8-u9.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/convocations/u7-u8-u9.html	(from http://www.carquefou-football.com/)
17:13:28	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:27%20GMT	http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.32.delayed	(from http://www.carquefou-football.com/)
17:13:29	43803/43803	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:24%20GMT	http://www.carquefou-football.com/stages.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/stages.html	(from http://www.carquefou-football.com/)
17:13:29	39049/39049	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:25%20GMT	http://www.carquefou-football.com/pole-regional-excellence.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/pole-regional-excellence.html	(from http://www.carquefou-football.com/)
17:13:30	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:29%20GMT	http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.34.delayed	(from http://www.carquefou-football.com/)
17:13:30	31477/31477	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:28%20GMT	http://www.carquefou-football.com/liens-vers-la-boutique.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/liens-vers-la-boutique.html	(from http://www.carquefou-football.com/)
17:13:32	29173/29173	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:30%20GMT	http://www.carquefou-football.com/lien-vers-devenir-partenaire.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/lien-vers-devenir-partenaire.html	(from http://www.carquefou-football.com/)
17:13:33	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:32%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/devenir-partenaire.html)
17:13:33	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.39.delayed	(from http://www.carquefou-football.com/devenir-partenaire.html)
